UserID,MovieID,Rating
0,52,1
1,204,5
2,1351,5
3,667,5
4,1003,5
5,1215,1
6,922,5
7,1456,1
8,308,5
9,347,5
10,123,1
11,310,5
12,260,5
13,512,5
14,273,3
15,80,5
16,442,5
17,999,4
18,195,5
19,1542,5
20,1470,5
21,359,5
22,308,5
23,117,5
24,204,5
24,697,5
25,447,5
26,506,5
27,1306,5
28,1481,5
29,224,5
30,334,4
31,1448,5
32,672,5
33,1489,5
34,137,5
35,1007,5
36,103,5
37,324,5
37,458,5
38,681,5
39,545,5
40,308,5
41,720,5
41,1024,5
42,1046,5
43,295,5
44,458,5
45,474,5
46,255,5
47,1354,4
48,269,5
49,345,1
50,63,5
51,195,5
52,444,5
53,61,5
54,679,5
55,110,5
56,1361,5
57,1243,5
58,1038,5
59,816,5
60,551,5
61,295,5
62,1103,5
63,103,5
64,103,5
65,679,5
66,308,5
67,1425,5
68,831,5
69,271,5
70,103,5
71,237,5
71,295,5
72,115,5
73,137,5
74,813,5
75,804,5
76,427,5
77,696,5
78,1501,5
79,1448,5
80,833,5
81,509,5
82,360,5
82,922,5
83,42,5
84,681,5
85,816,5
86,282,5
87,269,5
88,103,5
89,195,4
90,1227,1
91,1484,4
92,1237,5
93,1237,5
94,269,5
95,82,5
96,2,5
97,348,5
98,106,2
99,501,4
100,195,5
100,237,5
101,270,5
101,1361,5
102,198,2
103,100,5
104,803,5
105,114,5
105,137,5
105,342,5
106,902,5
107,304,5
107,1046,5
107,1232,5
107,1375,5
107,1456,5
108,912,5
109,148,5
110,237,4
111,195,2
112,80,5
113,444,5
114,237,5
115,794,5
116,632,4
117,208,5
118,271,5
119,512,5
120,477,5
121,343,4
122,437,5
123,86,4
123,110,5
124,510,5
125,803,5
126,115,5
127,827,1
128,103,5
129,922,5
130,1380,5
131,308,5
132,2,1
133,42,5
134,672,5
135,195,5
136,914,5
137,664,1
138,283,5
139,1366,5
140,114,5
141,91,5
141,111,5
142,64,5
143,1480,5
144,310,5
145,306,5
146,430,5
146,1534,5
147,235,5
148,308,5
149,283,5
150,1322,5
151,237,5
152,195,5
153,195,5
154,681,5
155,103,5
156,195,1
157,97,4
157,397,5
158,103,5
159,195,5
160,494,5
161,510,5
162,906,5
163,345,5
164,342,5
165,430,5
166,494,5
167,277,5
168,86,5
169,133,5
170,114,5
171,471,1
172,115,5
173,195,5
174,922,5
175,195,5
176,696,5
177,1351,5
178,114,5
179,1222,5
